"","year","month","fips_code","n"
"688",2017,"February",27053,8
"689",2017,"February",27067,3
"690",2017,"February",27109,5
"691",2017,"February",27123,14
"692",2017,"February",27137,2
"693",2017,"February",27169,2
"694",2017,"February",28003,3
"695",2017,"February",28047,3
"696",2017,"February",28049,4
"697",2017,"February",28071,2
"698",2017,"February",29019,10
"699",2017,"February",29077,2
"700",2017,"February",29095,9
"701",2017,"February",29097,2
"702",2017,"February",29189,4
"703",2017,"February",29510,20
"704",2017,"February",30029,2
"705",2017,"February",30031,7
"706",2017,"February",30049,5
"707",2017,"February",30063,2
"708",2017,"February",31019,2
"709",2017,"February",31055,8
"710",2017,"February",31079,3
"711",2017,"February",31109,9
"712",2017,"February",31157,2
"713",2017,"February",32003,9
"714",2017,"February",32031,5
"715",2017,"February",32510,3
"716",2017,"February",33009,2
"717",2017,"February",33011,3
"718",2017,"February",33013,3
"719",2017,"February",33017,2
"720",2017,"February",34001,3
"721",2017,"February",34003,11
"722",2017,"February",34005,2
"723",2017,"February",34007,3
"724",2017,"February",34013,2
"725",2017,"February",34017,16
"726",2017,"February",34019,3
"727",2017,"February",34021,2
"728",2017,"February",34023,5
"729",2017,"February",34025,6
"730",2017,"February",34027,2
"731",2017,"February",34029,3
"732",2017,"February",34031,3
"733",2017,"February",34035,2
"734",2017,"February",34039,9
"735",2017,"February",35001,3
"736",2017,"February",35013,9
"737",2017,"February",36001,20
"738",2017,"February",36019,6
"739",2017,"February",36021,3
"740",2017,"February",36025,3
"741",2017,"February",36027,4
"742",2017,"February",36029,21
"743",2017,"February",36047,5
"744",2017,"February",36055,3
"745",2017,"February",36059,7
"746",2017,"February",36061,67
"747",2017,"February",36067,16
"748",2017,"February",36081,3
"749",2017,"February",36083,2
"750",2017,"February",36087,3
"751",2017,"February",36089,3
"752",2017,"February",36103,15
"753",2017,"February",36109,20
"754",2017,"February",36111,3
"755",2017,"February",36119,13
"756",2017,"February",37021,8
"757",2017,"February",37049,2
"758",2017,"February",37067,8
"759",2017,"February",37089,2
"760",2017,"February",37119,13
"761",2017,"February",37129,3
"762",2017,"February",37135,4
"763",2017,"February",37147,2
"764",2017,"February",37183,9
"765",2017,"February",38017,3
"766",2017,"February",39009,11
"767",2017,"February",39025,2
"768",2017,"February",39035,6
"769",2017,"February",39049,5
"770",2017,"February",39101,3
"771",2017,"February",39113,8
"772",2017,"February",39143,2
"773",2017,"February",39169,3
"774",2017,"February",40109,4
