"","county","count","year","month","state"
"389","61 - Rankin",97450,"2021","January","MS"
"390","62 - Scott",18230,"2021","January","MS"
"391","63 - Sharkey",3295,"2021","January","MS"
"392","64 - Simpson",17515,"2021","January","MS"
"393","65 - Smith",11530,"2021","January","MS"
"394","66 - Stone",10839,"2021","January","MS"
"395","67 - Sunflower",15258,"2021","January","MS"
"396","68 - Tallahatchie",9814,"2021","January","MS"
"397","69 - Tate",18094,"2021","January","MS"
"398","70 - Tippah",14243,"2021","January","MS"
"399","71 - Tishomingo",12883,"2021","January","MS"
"400","72 - Tunica",6544,"2021","January","MS"
"401","73 - Union",16885,"2021","January","MS"
"402","74 - Walthall",10402,"2021","January","MS"
"403","75 - Warren",27967,"2021","January","MS"
"404","76 - Washington",29547,"2021","January","MS"
"405","77 - Wayne",13622,"2021","January","MS"
"406","78 - Webster",7304,"2021","January","MS"
"407","79 - Wilkinson",6789,"2021","January","MS"
"408","80 - Winston",12316,"2021","January","MS"
"409","81 - Yalobusha",8984,"2021","January","MS"
"410","82 - Yazoo",19207,"2021","January","MS"
"411","01 - Adams",19425,"2021","July","MS"
"412","02 - Alcorn",24126,"2021","July","MS"
"413","03 - Amite",9778,"2021","July","MS"
"414","04 - Attala",12066,"2021","July","MS"
"415","05 - Benton",5945,"2021","July","MS"
"416","06 - Bolivar",23590,"2021","July","MS"
"417","07 - Calhoun",9330,"2021","July","MS"
"418","08 - Carroll",7257,"2021","July","MS"
"419","09 - Chickasaw",11754,"2021","July","MS"
"420","10 - Choctaw",4933,"2021","July","MS"
"421","11 - Claiborne",6346,"2021","July","MS"
"422","12 - Clarke",11239,"2021","July","MS"
"423","13 - Clay",13914,"2021","July","MS"
"424","14 - Coahoma",15601,"2021","July","MS"
"425","15 - Copiah",18742,"2021","July","MS"
"426","16 - Covington",13972,"2021","July","MS"
"427","17 - DeSoto",122571,"2021","July","MS"
"428","18 - Forrest",46744,"2021","July","MS"
"429","19 - Franklin",5798,"2021","July","MS"
"430","20 - George",15200,"2021","July","MS"
"431","21 - Greene",7531,"2021","July","MS"
"432","22 - Grenada",14970,"2021","July","MS"
"433","23 - Hancock",34413,"2021","July","MS"
"434","24 - Harrison",137565,"2021","July","MS"
"435","25 - Hinds",166659,"2021","July","MS"
"436","26 - Holmes",13144,"2021","July","MS"
"437","27 - Humphreys",6608,"2021","July","MS"
"438","28 - Issaquena",885,"2021","July","MS"
"439","29 - Itawamba",15350,"2021","July","MS"
"440","30 - Jackson",86319,"2021","July","MS"
"441","31 - Jasper",10950,"2021","July","MS"
"442","32 - Jefferson",5727,"2021","July","MS"
"443","33 - Jeff Davis",8615,"2021","July","MS"
"444","34 - Jones",45021,"2021","July","MS"
"445","35 - Kemper",7289,"2021","July","MS"
"446","36 - Lafayette",32022,"2021","July","MS"
"447","37 - Lamar",37011,"2021","July","MS"
"448","38 - Lauderdale",43268,"2021","July","MS"
"449","39 - Lawrence",8540,"2021","July","MS"
"450","40 - Leake",13499,"2021","July","MS"
"451","41 - Lee",52248,"2021","July","MS"
"452","42 - Leflore",20804,"2021","July","MS"
"453","43 - Lincoln",21803,"2021","July","MS"
"454","44 - Lowndes",37798,"2021","July","MS"
"455","45 - Madison",74674,"2021","July","MS"
"456","46 - Marion",16097,"2021","July","MS"
"457","47 - Marshall",24260,"2021","July","MS"
"458","48 - Monroe",24760,"2021","July","MS"
"459","49 - Montgomery",6384,"2021","July","MS"
"460","50 - Neshoba",17418,"2021","July","MS"
"461","51 - Newton",13430,"2021","July","MS"
"462","52 - Noxubee",7648,"2021","July","MS"
"463","53 - Oktibbeha",29152,"2021","July","MS"
"464","54 - Panola",22436,"2021","July","MS"
"465","55 - Pearl River",35346,"2021","July","MS"
"466","56 - Perry",8517,"2021","July","MS"
"467","57 - Pike",24688,"2021","July","MS"
"468","58 - Pontotoc",19770,"2021","July","MS"
"469","59 - Prentiss",14387,"2021","July","MS"
"470","60 - Quitman",4716,"2021","July","MS"
"471","61 - Rankin",98354,"2021","July","MS"
"472","62 - Scott",16702,"2021","July","MS"
"473","63 - Sharkey",3289,"2021","July","MS"
"474","64 - Simpson",17314,"2021","July","MS"
"475","65 - Smith",11420,"2021","July","MS"
"476","66 - Stone",10812,"2021","July","MS"
"477","67 - Sunflower",13405,"2021","July","MS"
"478","68 - Tallahatchie",9805,"2021","July","MS"
"479","69 - Tate",17686,"2021","July","MS"
"480","70 - Tippah",13829,"2021","July","MS"
"481","71 - Tishomingo",12699,"2021","July","MS"
"482","72 - Tunica",6280,"2021","July","MS"
"483","73 - Union",16322,"2021","July","MS"
"484","74 - Walthall",10121,"2021","July","MS"
"485","75 - Warren",27074,"2021","July","MS"
"486","76 - Washington",28997,"2021","July","MS"
"487","77 - Wayne",13331,"2021","July","MS"
"488","78 - Webster",6580,"2021","July","MS"
"489","79 - Wilkinson",6689,"2021","July","MS"
"490","80 - Winston",12318,"2021","July","MS"
"491","81 - Yalobusha",7917,"2021","July","MS"
"492","82 - Yazoo",19050,"2021","July","MS"
"493","01 - Adams",19467,"2021","June","MS"
"494","02 - Alcorn",24247,"2021","June","MS"
"495","03 - Amite",9766,"2021","June","MS"
"496","04 - Attala",12067,"2021","June","MS"
"497","05 - Benton",5949,"2021","June","MS"
"498","06 - Bolivar",23594,"2021","June","MS"
"499","07 - Calhoun",9332,"2021","June","MS"
"500","08 - Carroll",7292,"2021","June","MS"
"501","09 - Chickasaw",11776,"2021","June","MS"
"502","10 - Choctaw",4938,"2021","June","MS"
"503","11 - Claiborne",6343,"2021","June","MS"
"504","12 - Clarke",11268,"2021","June","MS"
"505","13 - Clay",13922,"2021","June","MS"
"506","14 - Coahoma",15662,"2021","June","MS"
"507","15 - Copiah",18777,"2021","June","MS"
"508","16 - Covington",14042,"2021","June","MS"
"509","17 - DeSoto",122436,"2021","June","MS"
"510","18 - Forrest",47009,"2021","June","MS"
"511","19 - Franklin",5804,"2021","June","MS"
"512","20 - George",15327,"2021","June","MS"
"513","21 - Greene",7526,"2021","June","MS"
"514","22 - Grenada",15045,"2021","June","MS"
"515","23 - Hancock",34395,"2021","June","MS"
"516","24 - Harrison",137517,"2021","June","MS"
"517","25 - Hinds",166932,"2021","June","MS"
"518","26 - Holmes",13148,"2021","June","MS"
"519","27 - Humphreys",6613,"2021","June","MS"
"520","28 - Issaquena",887,"2021","June","MS"
"521","29 - Itawamba",15397,"2021","June","MS"
"522","30 - Jackson",86579,"2021","June","MS"
"523","31 - Jasper",10976,"2021","June","MS"
"524","32 - Jefferson",5761,"2021","June","MS"
"525","33 - Jeff Davis",8614,"2021","June","MS"
"526","34 - Jones",45058,"2021","June","MS"
"527","35 - Kemper",7325,"2021","June","MS"
"528","36 - Lafayette",32003,"2021","June","MS"
"529","37 - Lamar",36944,"2021","June","MS"
"530","38 - Lauderdale",43657,"2021","June","MS"
"531","39 - Lawrence",8566,"2021","June","MS"
"532","40 - Leake",13495,"2021","June","MS"
"533","41 - Lee",52213,"2021","June","MS"
"534","42 - Leflore",21624,"2021","June","MS"
"535","43 - Lincoln",21787,"2021","June","MS"
"536","44 - Lowndes",37769,"2021","June","MS"
"537","45 - Madison",74563,"2021","June","MS"
"538","46 - Marion",16123,"2021","June","MS"
"539","47 - Marshall",24297,"2021","June","MS"
"540","48 - Monroe",24869,"2021","June","MS"
"541","49 - Montgomery",6400,"2021","June","MS"
"542","50 - Neshoba",17393,"2021","June","MS"
"543","51 - Newton",13470,"2021","June","MS"
"544","52 - Noxubee",7664,"2021","June","MS"
"545","53 - Oktibbeha",29976,"2021","June","MS"
"546","54 - Panola",22422,"2021","June","MS"
"547","55 - Pearl River",35274,"2021","June","MS"
"548","56 - Perry",8520,"2021","June","MS"
"549","57 - Pike",24685,"2021","June","MS"
"550","58 - Pontotoc",19793,"2021","June","MS"
"551","59 - Prentiss",14383,"2021","June","MS"
"552","60 - Quitman",4722,"2021","June","MS"
"553","61 - Rankin",98256,"2021","June","MS"
"554","62 - Scott",16723,"2021","June","MS"
"555","63 - Sharkey",3311,"2021","June","MS"
"556","64 - Simpson",17328,"2021","June","MS"
"557","65 - Smith",11422,"2021","June","MS"
"558","66 - Stone",10763,"2021","June","MS"
"559","67 - Sunflower",13808,"2021","June","MS"
"560","68 - Tallahatchie",9801,"2021","June","MS"
"561","69 - Tate",17652,"2021","June","MS"
"562","70 - Tippah",13841,"2021","June","MS"
"563","71 - Tishomingo",12679,"2021","June","MS"
"564","72 - Tunica",6399,"2021","June","MS"
"565","73 - Union",16319,"2021","June","MS"
"566","74 - Walthall",10125,"2021","June","MS"
"567","75 - Warren",27204,"2021","June","MS"
"568","76 - Washington",28970,"2021","June","MS"
"569","77 - Wayne",13430,"2021","June","MS"
"570","78 - Webster",6583,"2021","June","MS"
"571","79 - Wilkinson",6699,"2021","June","MS"
"572","80 - Winston",12314,"2021","June","MS"
"573","81 - Yalobusha",7978,"2021","June","MS"
"574","82 - Yazoo",19063,"2021","June","MS"
"575","01 - Adams",19672,"2021","March","MS"
"576","02 - Alcorn",24581,"2021","March","MS"
"577","03 - Amite",10007,"2021","March","MS"
